historical_job_hash,historical_verb,historical_raw_score,current_opportunity_id,current_canonical_id,current_version_id,current_document_id,match_method,confidence,disposition
"indeed:50370bd2f95adbf9","SPARSE_SPEC","0","","d85893ff94473af92ac0d1bca0ba277458fab7429ef87945bbad902fc24e7c0d","3ed1d783213f30d73d82e6f5147b43043c396cb496d64a81838cd03422e08a6c","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:51d634f694daa93c","SPARSE_SPEC","0","","f39051b10de9e9a2a1844f747ee69f56ff7012d64fb6992babdb83a75712c2e3","72aea593c9ff03a076f96e496c8d15bfd29bdda99735e5007a988cd08dd2576e","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:551daef3543af0b1","SPARSE_SPEC","0","","84142a6e62578d1e6a2904dde80e8bed876e683c81e4345f1ce89c28ba04eee7","c1c4e4f1838dec1abdbfc07c6544e98bcdfa856c897cf3e47e860e71a87b3ae6","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:563b2119641b7456","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:58351da2d8d07693","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:59725f1681fdfcd5","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:59ad84c2cf4b6d6a","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:63784501dab7a901","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:64204c304f754a72","SPARSE_SPEC","","","d67b624ff5fe5f5560f98b55e57d21f573bcec32df68b311a3a877eed034b010","acd1326231cab14fbd1271b96b225c00b823c4fc58f7a5aa5a3ce488d9a6b9a7","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:65c707c2280b7c96","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:67cd05fa73e75864","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:6ac12013d6e5fba5","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:6c8c9cee39734a2f","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:6e078b44904f1401","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:6e27850248f8236f","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:6eddce5ee4e811ef","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:6ef4c1b84554aa42","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:7315b18e9b6ae6c4","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:741827d512f68a3b","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:7460340167e063e8","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:7619c32dc73447bb","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:77ea31966667259e","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:78dbeb9246f09b38","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:79f9aa1c1011b9df","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:7aa29457ccba384d","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:7c5592510608d780","SPARSE_SPEC","0","","5da7069296a1b7d5a87f3cc7654eaf27163ba462ca1b4203efc6d998b43c9af4","a51cceeeae6c5808afd07a21b8e667c2db7a59fe0f2a3f87964ecf80bdc7329a","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:7ce4f46115a089b2","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:7f0c58a4c37d9701","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:7ffa84028188f07c","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
