jobHash,stored_verdict,adapter_verdict,serving_verdict,corruption_status
1aa00e537af6587b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1ad10ce75d9814cc,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1bc4f83f17942645,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1bf762014bf2c370,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1bfc5ea7d555b673,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1c027d2eaea86288,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1c7867d2418ae2a9,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1ca04a599f41d8c0,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1cd1c62184d7b1fb,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1cef4c055d461b66,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1d24e7f539d5ba0b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1d5a79fd0ea43134,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
1f8a28b65a5d927a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
203010a26fcafdee,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2076c14499bb4097,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
209d58536cbf2bbf,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
20c572bc8af87409,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
212d47b248e2169a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
21bbcba43965396c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2218de82388a07c9,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
226cc745cefebb24,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
22c154b12739c234,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
